locality,sale_price,estimated_value,carpet_area,num_rooms,num_bathrooms,spread,price_per_sqft,ratio_avance_compra,cluster,pca1,pca2,pca3
Waterbury,185000.0,111440.0,996.0,3,3,0.66,185.74,0.6023783783783784,0,0.13934667644742277,-0.5050271261452262,-0.2498070570235845
Waterbury,105000.0,50540.0,951.0,3,1,1.08,110.41,0.48133333333333334,0,-0.6876722803160463,-1.0462383575807028,-0.33733391083052455
Norwalk,1000000.0,571060.0,1021.0,3,2,0.75,979.43,0.57106,0,-0.722574477180625,0.15941565003126992,-0.03282293929225924
Bridgeport,272900.0,4775276.0,971.0,3,1,-0.94,281.05,17.49826310003664,0,-0.25266489456670727,-1.3891062768393714,3.525200456854776
Greenwich,5187000.0,243180.0,1026.0,3,2,20.33,5055.56,0.04688259109311741,2,-5.155459262892004,7.900484671169927,-2.3942698614869715
Norwalk,1340000.0,243180.0,936.0,3,1,4.51,1431.62,0.18147761194029852,0,-1.8545461054212236,0.8905526424397731,-0.6348842495972112
Norwalk,409000.0,172620.0,1004.0,3,3,1.37,407.37,0.42205378973105134,0,-0.05775462195404485,-0.13580065812786965,-0.34837425359850954
Bridgeport,410000.0,243180.0,1498.0,4,3,0.69,273.7,0.5931219512195122,0,1.51640047557199,0.5336621835280325,-0.28396654874367133
Waterbury,176000.0,243180.0,1008.0,3,1,-0.28,174.6,1.3817045454545454,0,-0.49033216737479507,-1.1535239038303864,0.09727510036760458
Norwalk,370000.0,208880.0,1063.0,3,2,0.77,348.07,0.5645405405405406,0,-0.24318641357211035,-0.47084336618086614,-0.22000462935169518
Waterbury,220000.0,83300.0,1471.0,4,4,1.64,149.56,0.37863636363636366,0,1.8583689150010407,0.7399141480407659,-0.5494572016823884
Bridgeport,284280.0,243180.0,1015.0,3,3,0.17,280.08,0.8554242296327564,0,0.15961863602110896,-0.4665635988395385,-0.0871120418221823
